Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - CloudFirst,https://www.crunchbase.com/funding_round/cloudfirst-368a-series-a--9cd2c29c,"Melville, New York, United States, North America",CloudFirst,https://www.crunchbase.com/organization/cloudfirst-368a,Series A,7000000,USD,7000000,2017-12-14,"Cloud Data Services, Cloud Management, Cloud Storage, Cyber Security, Enterprise Software, Information Technology, Mapping Services, Software",Layer 7 Capital
Series A - Sendmarc,https://www.crunchbase.com/funding_round/sendmarc-series-a--8ac126af,"Wilmington, Delaware, United States, North America",Sendmarc,https://www.crunchbase.com/organization/sendmarc,Series A,7000000,USD,7000000,2023-02-08,"Cyber Security, Email, Information Technology, Internet",Atlantica Ventures
Series A - TypingDNA,https://www.crunchbase.com/funding_round/typingdna-series-a--bd340c5e,"Brooklyn, New York, United States, North America",TypingDNA,https://www.crunchbase.com/organization/typingdna,Series A,7000000,USD,7000000,2020-01-04,"Artificial Intelligence (AI), Cyber Security, Developer APIs, Fraud Detection, Identity Management, SaaS, Software",Gradient
Series A - MistNet,https://www.crunchbase.com/funding_round/mistnet-io-series-a--7c24feae,"Mountain View, California, United States, North America",MistNet,https://www.crunchbase.com/organization/mistnet-io,Series A,7000000,USD,7000000,2019-05-21,"Artificial Intelligence (AI), Cyber Security, Risk Management, Security",Foundation Capital
Series A - Acalvio Technologies,https://www.crunchbase.com/funding_round/acalvio-technologies-series-a--354c51d3,"Santa Clara, California, United States, North America",Acalvio Technologies,https://www.crunchbase.com/organization/acalvio-technologies,Series A,7000000,USD,7000000,2015-08-26,"Cloud Computing, Cloud Security, Cyber Security, Network Security, SaaS, Security, Software",Ignition Partners
Series A - StealthMole,https://www.crunchbase.com/funding_round/stealthmole-series-a--a1e58d80,"Singapore, Central Region, Singapore, Asia",StealthMole,https://www.crunchbase.com/organization/stealthmole,Series A,7000000,USD,7000000,2024-03-28,"Artificial Intelligence (AI), Cyber Security, Security",Korea Investment Partners
Series A - FireCompass,https://www.crunchbase.com/funding_round/firecompass-series-a--549003da,"Boston, Massachusetts, United States, North America",FireCompass,https://www.crunchbase.com/organization/firecompass,Series A,7000000,USD,7000000,2023-02-06,"Big Data, Cyber Security, Information Technology, Internet, SaaS","Athera Venture Partners, Cervin Ventures"
Series A - Alcide,https://www.crunchbase.com/funding_round/alcide-series-a--043e5bce,"Tel Aviv, Tel Aviv, Israel, Asia",Alcide,https://www.crunchbase.com/organization/alcide,Series A,7000000,USD,7000000,2018-11-19,"Cloud Security, Cyber Security, Data Center, DevOps, Information Technology, Network Security, Security, Software",CE Ventures (CEIIF)
Series A - Voatz,https://www.crunchbase.com/funding_round/voatz-series-a--52074297,"Boston, Massachusetts, United States, North America",Voatz,https://www.crunchbase.com/organization/voatz,Series A,7000000,USD,7000000,2019-06-06,"Blockchain, Cyber Security, Government, Mobile, Mobile Apps, Politics","Medici Ventures, Techstars"
Series A - Baffle,https://www.crunchbase.com/funding_round/baffle-series-a--8c19df22,"Santa Clara, California, United States, North America",Baffle,https://www.crunchbase.com/organization/baffle,Series A,7000000,USD,7000000,2018-01-17,"Analytics, Artificial Intelligence (AI), Cloud Security, Cyber Security, Enterprise Applications, Machine Learning, Privacy, SaaS, Security, Software",Envision Ventures
Series A - Rapid7,https://www.crunchbase.com/funding_round/rapid7-series-a--8eb0d2eb,"Boston, Massachusetts, United States, North America",Rapid7,https://www.crunchbase.com/organization/rapid7,Series A,7000000,USD,7000000,2008-09-17,"Analytics, Cyber Security, Enterprise Software, Network Security, Risk Management, Security",Bain Capital Ventures
Series A - BigPanda,https://www.crunchbase.com/funding_round/bigpanda-series-a--fc856d79,"Redwood City, California, United States, North America",BigPanda,https://www.crunchbase.com/organization/bigpanda,Series A,7000000,USD,7000000,2014-10-28,"Artificial Intelligence (AI), Cloud Infrastructure, Cyber Security, Data Integration, Developer Platform, DevOps, Enterprise Software, Information Technology, SaaS",Mayfield Fund
Series A - RiskSense,https://www.crunchbase.com/funding_round/risksense-series-a--51bd290b,"Sunnyvale, California, United States, North America",RiskSense,https://www.crunchbase.com/organization/risksense,Series A,7000000,USD,7000000,2016-08-02,"Cyber Security, Information Technology, Network Security, Risk Management, Security, Software",Paladin Capital Group
Series A - PureSec,https://www.crunchbase.com/funding_round/puresec-series-a--dafb3731,"Tel Aviv, Tel Aviv, Israel, Asia",PureSec,https://www.crunchbase.com/organization/puresec,Series A,7000000,USD,7000000,2018-10-04,"Cloud Security, Cyber Security, Enterprise Software, Security, Software",Square Peg Capital
Series A - Morphisec,https://www.crunchbase.com/funding_round/morphisec-series-a--301ff5a9,"New York, New York, United States, North America",Morphisec,https://www.crunchbase.com/organization/morphisec,Series A,7000000,USD,7000000,2015-07-06,"Cloud Security, Cyber Security, Enterprise Software, Network Security",Jerusalem Venture Partners (JVP)
Series A - CodeNotary,https://www.crunchbase.com/funding_round/codenotary-series-a--d4c9ea8f,"Houston, Texas, United States, North America",CodeNotary,https://www.crunchbase.com/organization/codenotary,Series A,7000000,USD,7000000,2020-01-21,"Cloud Security, Cyber Security, Data Integration, Enterprise Software, Information Technology, Open Source, Security, Software",Elaia
Series A - CyberQP,https://www.crunchbase.com/funding_round/quickpass-fd08-series-a--3f8d344a,"North Vancouver, British Columbia, Canada, North America",CyberQP,https://www.crunchbase.com/organization/quickpass-fd08,Series A,7000000,USD,7000000,2022-06-14,"Computer, Cyber Security, Software",Arthur Ventures
Series A - TopSpin Security,https://www.crunchbase.com/funding_round/topspin-security-series-a--9d611982,"Herzliya, Tel Aviv, Israel, Asia",TopSpin Security,https://www.crunchbase.com/organization/topspin-security,Series A,7000000,USD,7000000,2016-01-04,"Cyber Security, Network Security, Security",
Series A - Safe Security,https://www.crunchbase.com/funding_round/lucideus-series-a--d441bc4c,"Palo Alto, California, United States, North America",Safe Security,https://www.crunchbase.com/organization/lucideus,Series A,7000000,USD,7000000,2019-12-04,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, Risk Management",MS&AD Ventures
Series A - Cambridge Blockchain,https://www.crunchbase.com/funding_round/cambridge-blockchain-series-a--fa0a8410,"Cambridge, Massachusetts, United States, North America",Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,Series A,7000000,USD,7000000,2018-05-16,"Blockchain, Cyber Security, Financial Services, FinTech, Identity Management, Information Technology, Privacy, Software",HCM Capital
Series A - Signifyd,https://www.crunchbase.com/funding_round/signifyd-series-a--dfb3882e,"San Jose, California, United States, North America",Signifyd,https://www.crunchbase.com/organization/signifyd,Series A,7000000,USD,7000000,2015-06-22,"Cyber Security, E-Commerce, Enterprise Software, Financial Services, FinTech, Fraud Detection, SaaS, Software",
Series A - Versive,https://www.crunchbase.com/funding_round/versive-series-a--c42645e1,"Seattle, Washington, United States, North America",Versive,https://www.crunchbase.com/organization/versive,Series A,7000000,USD,7000000,2013-07-16,"Analytics, Artificial Intelligence (AI), Big Data, Cyber Security, Predictive Analytics",
Series A - Human Security,https://www.crunchbase.com/funding_round/humansecurity-series-a--268f45e8,"New York, New York, United States, North America",Human Security,https://www.crunchbase.com/organization/humansecurity,Series A,7000000,USD,7000000,2014-05-01,"Advertising, Agentic AI, Artificial Intelligence (AI), Cyber Security, Fraud Detection, Internet, Security, Software",
Series A - Dataships,https://www.crunchbase.com/funding_round/dataships-series-a--6d91326d,"Blackrock, Dublin, Ireland, Europe",Dataships,https://www.crunchbase.com/organization/dataships,Series A,6800000,EUR,7007586,2025-01-05,"Artificial Intelligence (AI), Compliance, Cyber Security, Enterprise Software, SaaS",Osage Venture Partners
Series A - Exein,https://www.crunchbase.com/funding_round/exein-series-a--03232604,"Roma, Lazio, Italy, Europe",Exein,https://www.crunchbase.com/organization/exein,Series A,6000000,EUR,7012369,2021-09-22,"Artificial Intelligence (AI), Cyber Security, Internet of Things, Network Security, Software","eCAPITAL ENTREPRENEURIAL PARTNERS, Future Industry Ventures, Redstone.VC"
Series A - Moonshot,https://www.crunchbase.com/funding_round/moonshot-fc0c-series-a--94e6c308,"London, England, United Kingdom, Europe",Moonshot,https://www.crunchbase.com/organization/moonshot-fc0c,Series A,5000000,GBP,7054077,2021-06-03,"Analytics, Cyber Security, Information Technology, Public Safety","Beringea, Mercia Fund Managers"
Series A - Naq,https://www.crunchbase.com/funding_round/naq-cyber-series-a--06a8c850,"Den Haag, Zuid-Holland, The Netherlands, Europe",Naq,https://www.crunchbase.com/organization/naq-cyber,Series A,6000000,EUR,7061158,2025-09-08,"Artificial Intelligence (AI), Compliance, Cyber Security, Supply Chain Management, Training",Automate Health
Series A - CyberUpgrade,https://www.crunchbase.com/funding_round/cyberupgrade-series-a--e27dfe62,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",CyberUpgrade,https://www.crunchbase.com/organization/cyberupgrade,Series A,6000000,EUR,7072553,2026-02-19,"Artificial Intelligence (AI), Cyber Security, Information Technology, SaaS",Iron Wolf Capital
Series A - QNu Labs,https://www.crunchbase.com/funding_round/qunu-series-a--36c75c75,"Bengaluru, Karnataka, India, Asia",QNu Labs,https://www.crunchbase.com/organization/qunu,Series A,600000000,INR,7095452,2025-04-30,"Computer, Cyber Security, Network Security, Quantum Computing, Software",National Quantum Mission
Series A - Stellar Cyber,https://www.crunchbase.com/funding_round/stellarcyber-series-a--ef3e4741,"Santa Clara, California, United States, North America",Stellar Cyber,https://www.crunchbase.com/organization/stellarcyber,Series A,7100000,USD,7100000,2019-10-01,"Cyber Security, Network Security, Security",Susquehanna International Group
Series A - Crypto Quantique,https://www.crunchbase.com/funding_round/crypto-quantique-series-a--2239d196,"City Of London, England, United Kingdom, Europe",Crypto Quantique,https://www.crunchbase.com/organization/crypto-quantique,Series A,6000000,GBP,7153451,2022-07-06,"Cyber Security, Hardware, Software, Wired Telecommunications","Business Growth Fund, Parkwalk Advisors"
Series A - GLIMPS,https://www.crunchbase.com/funding_round/glimps-series-a--b80b9bb8,"Cesson-sévigné, Bretagne, France, Europe",GLIMPS,https://www.crunchbase.com/organization/glimps,Series A,6000000,EUR,7173601,2021-04-13,"Artificial Intelligence (AI), Cyber Security, Network Security, Software",Ace Capital Partners
Series A - Arctic Wolf,https://www.crunchbase.com/funding_round/arctic-wolf-networks-series-a--b13f185b,"Eden Prairie, Minnesota, United States, North America",Arctic Wolf,https://www.crunchbase.com/organization/arctic-wolf-networks,Series A,7200000,USD,7200000,2012-05-01,"Cyber Security, Information Technology, Network Security, Risk Management, Software","Lightspeed Venture Partners, Redpoint"
Series A - Xona Systems,https://www.crunchbase.com/funding_round/xona-systems-series-a--51cf0848,"Hanover, Maryland, United States, North America",Xona Systems,https://www.crunchbase.com/organization/xona-systems,Series A,7200000,USD,7200000,2022-05-25,"Cyber Security, Industrial Automation, Information Technology, Internet of Things, Oil and Gas, Renewable Energy, Software",DataTribe Opportunities Fund
Series A - Protexxa,https://www.crunchbase.com/funding_round/protexxa-series-a--89bf414d,"Toronto, Ontario, Canada, North America",Protexxa,https://www.crunchbase.com/organization/protexxa,Series A,10000000,CAD,7253999,2024-07-23,"Cyber Security, Information Technology",
Series A - Sentry Enterprises Holding,https://www.crunchbase.com/funding_round/blustor-series-a--d37b41d3,"West Chester, Pennsylvania, United States, North America",Sentry Enterprises Holding,https://www.crunchbase.com/organization/blustor,Series A,7298912,USD,7298912,2018-07-15,"Biometrics, Credit Cards, Cyber Security, Hardware, Identity Management, Security",
Series A - SecurityAdvisor,https://www.crunchbase.com/funding_round/securityadvisor-series-a--32267ff1,"Sunnyvale, California, United States, North America",SecurityAdvisor,https://www.crunchbase.com/organization/securityadvisor,Series A,7300000,USD,7300000,2021-02-02,"Cloud Security, Cyber Security, SaaS",ClearSky
Series A - Invincea,https://www.crunchbase.com/funding_round/invincea-series-a--4f6daadd,"Fairfax, Virginia, United States, North America",Invincea,https://www.crunchbase.com/organization/invincea,Series A,7300000,USD,7300000,2009-03-12,"Cyber Security, Enterprise Software, Information Technology, Internet, Security, Software",
Series A - ShieldIOT,https://www.crunchbase.com/funding_round/shieldiot-series-a--6e9e203f,"Herzliya, Tel Aviv, Israel, Asia",ShieldIOT,https://www.crunchbase.com/organization/shieldiot,Series A,7400000,USD,7400000,2021-11-19,"Cyber Security, Internet of Things, Software","Bloc Ventures, NextLeap Ventures"
Series A - Deep Sentinel,https://www.crunchbase.com/funding_round/deep-sentinel-series-a--61f5edbf,"Pleasanton, California, United States, North America",Deep Sentinel,https://www.crunchbase.com/organization/deep-sentinel,Series A,7400000,USD,7400000,2017-04-28,"Cyber Security, E-Commerce, Home Improvement, Home Services, Software",Shasta Ventures
