Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - Truora,https://www.crunchbase.com/funding_round/truora-series-a--605330fc,"Cali, Valle del Cauca, Colombia, South America",Truora,https://www.crunchbase.com/organization/truora,Series A,15000000,USD,15000000,2022-04-04,"Cyber Security, FinTech, Fraud Detection, Identity Management, Risk Management, SaaS","Accel, Propel"
Series A - BreachRx,https://www.crunchbase.com/funding_round/breachrx-series-a--5e8a9a54,"San Francisco, California, United States, North America",BreachRx,https://www.crunchbase.com/organization/breachrx,Series A,15000000,USD,15000000,2025-05-19,"Cyber Security, Privacy, SaaS, Security, Software",Ballistic Ventures
Series A - IONIX,https://www.crunchbase.com/funding_round/cyberpion-series-a--10308b62,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",IONIX,https://www.crunchbase.com/organization/cyberpion,Series A,15000000,USD,15000000,2024-02-06,"Cloud Security, Computer, Cyber Security, Enterprise Software, Network Security",
Series A - 1Kosmos,https://www.crunchbase.com/funding_round/1kosmos-blockid-series-a--a42d09e2,"Edison, New Jersey, United States, North America",1Kosmos,https://www.crunchbase.com/organization/1kosmos-blockid,Series A,15000000,USD,15000000,2021-02-16,"Cyber Security, Identity Management, Security, Software",Forgepoint Capital
Series A - Area 1 Security,https://www.crunchbase.com/funding_round/area-1-security-series-a--33043abf,"Redwood City, California, United States, North America",Area 1 Security,https://www.crunchbase.com/organization/area-1-security,Series A,15000000,USD,15000000,2015-10-14,"Cyber Security, Network Security, Security",Icon Ventures
Series A - Realm Security,https://www.crunchbase.com/funding_round/realm-security-series-a--8e7ea8aa,"Boston, Massachusetts, United States, North America",Realm Security,https://www.crunchbase.com/organization/realm-security,Series A,15000000,USD,15000000,2025-10-08,Cyber Security,Jump Capital
Series A - DNSFilter,https://www.crunchbase.com/funding_round/dnsfilter-series-a--b1d3d2c5,"Washington, District of Columbia, United States, North America",DNSFilter,https://www.crunchbase.com/organization/dnsfilter,Series A,15000000,USD,15000000,2023-08-10,"Cyber Security, Machine Learning, Network Security, Security",
Series A - Team8,https://www.crunchbase.com/funding_round/team8-series-a--668b2018,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",Team8,https://www.crunchbase.com/organization/team8,Series A,15000000,USD,15000000,2014-06-24,"Cyber Security, Financial Services, FinTech, Venture Capital",Marker
Series A - Radiant Security,https://www.crunchbase.com/funding_round/radiantsecurity-series-a--81c63c4d,"San Francisco, California, United States, North America",Radiant Security,https://www.crunchbase.com/organization/radiantsecurity,Series A,15000000,USD,15000000,2023-11-14,"Artificial Intelligence (AI), Cyber Security, Information Technology, Software",N47
Series A - InCountry,https://www.crunchbase.com/funding_round/incountry-series-a--acb7c9a2,"San Francisco, California, United States, North America",InCountry,https://www.crunchbase.com/organization/incountry,Series A,15000000,USD,15000000,2019-07-18,"Artificial Intelligence (AI), Compliance, Cyber Security, Data Management, Data Storage, Information Technology","Arbor Ventures, CRV, Global Founders Capital, Mubadala Capital Ventures"
Series A - Push Security,https://www.crunchbase.com/funding_round/push-security-series-a--65d3f92d,"Boston, Massachusetts, United States, North America",Push Security,https://www.crunchbase.com/organization/push-security,Series A,15000000,USD,15000000,2023-03-28,"Agentic AI, Cyber Security, Developer Tools, Real Time, SaaS, Web Browsers",Google Ventures
Series A - Glean,https://www.crunchbase.com/funding_round/scio-technologies-series-a--526fb02a,"Palo Alto, California, United States, North America",Glean,https://www.crunchbase.com/organization/scio-technologies,Series A,15000000,USD,15000000,2019-03-01,"Agentic AI, Artificial Intelligence (AI), Cyber Security, Enterprise Software, Generative AI, Knowledge Management, Machine Learning, Productivity Tools, Search Engine, Virtual Assistant","Kleiner Perkins, Lightspeed Venture Partners"
Series A - Dtex Systems,https://www.crunchbase.com/funding_round/dtex-systems-series-a--abf7dc9b,"Saratoga, California, United States, North America",Dtex Systems,https://www.crunchbase.com/organization/dtex-systems,Series A,15000000,USD,15000000,2015-02-25,"Business Intelligence, Cyber Security, Predictive Analytics, Risk Management, Security, Software","Norwest, Wing Venture Capital"
Series A - Northbeam,https://www.crunchbase.com/funding_round/northbeam-series-a--f0c00233,"El Segundo, California, United States, North America",Northbeam,https://www.crunchbase.com/organization/northbeam,Series A,15000000,USD,15000000,2022-08-16,"Analytics, Cyber Security, Digital Marketing, Information Technology, Machine Learning, Marketing",Silversmith Capital Partners
Series A - Racktop Systems,https://www.crunchbase.com/funding_round/racktop-systems-series-a--e4772c84,"Fulton, Maryland, United States, North America",Racktop Systems,https://www.crunchbase.com/organization/racktop-systems,Series A,15000000,USD,15000000,2019-03-04,"Cloud Data Services, Cloud Security, Cloud Storage, Compliance, Cyber Security, Data Storage, Flash Storage, Security, Software","Grotech Ventures, Razor's Edge Ventures"
